"TIV of arms exports from Netherlands, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,51,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,,,,,,122
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,20
Argentina,,,,,,,,,,,,,,,,,,,277,54,,17,,,12,93,,23,,18,5,13,,95,26,13,13,13,,,13,,,,,,,,,9,13,,,,13,,,,,,,,,,,,,,,,,,716
Australia,,,,,,,,,,,,,,14,7,7,,,7,26,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,107,,,,,,,,,,,,,,,,,,,,,,,,155
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,20,12,,,,,77
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,9,0,5,,,,,,,,,,,,,,,,,,,,,,,,20
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,19
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,,30
Belgium,,,7,6,,,,,,,,,,,,,,,,,,,,,6,0,,,50,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,124,127,5,1,,6,3,5,,,,,5,,,347
Brazil,,,,,,250,4,4,4,4,5,,,,,,,,,,,2,2,,,,3,1,2,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,284
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,5,,,,,,,,19
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,44
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10
Canada,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,28,37,18,100,18,23,24,24,,,,,,,,,,22,,,13,16,32,92,74,60,,15,,,,642
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chile,,,,,,,,,,18,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,160,138,,9,,,123,322,289,6,,68,138,,,,,,,,,,,1292
Colombia,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,20,,,,,,,,107
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Denmark,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,,,25,,,,,43,,85,,,,,,,,166
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,4,,,20,,,,,37
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,15,208,4,,,,,,,,,42,67,26,,,,,12,,12,,17,13,,,17,459
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,27,28,14,14,,,92
Ethiopia,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Finland,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,7,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,40,40,40,40,41,2,8,249
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,30,,13,,,13,,,13,,,5,144
Germany,,,,,,,,,,19,32,31,34,24,33,17,,,39,30,,,,,,,42,18,,,,,56,69,63,,,,,20,20,30,,,31,31,75,,,,,,,,90,95,347,,10,,,,54,20,,6,,32,,,,,1363
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,9,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Greece,,,,,,,,,,,,,,,,,,,,,,9,13,,,,,,,,,270,315,,,,,,,,,40,124,191,144,126,24,120,75,,,126,126,247,15,22,32,7,11,29,18,11,,,,14,,,,,14,,2120
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Honduras,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,21
India,,,,,,,,,,,,,,,,,,,,,,,,,17,,18,18,,,18,18,,16,,8,,,18,150,150,125,125,125,125,113,100,118,113,74,35,21,,,37,25,,,,10,20,1,1,,10,10,10,,,,,10,1633
Indonesia,195,58,14,,,,,,,,,,,,,,,,,,,,,,,,54,8,8,100,235,61,2,,,,127,71,159,120,6,6,,,,,,,,,15,,7,,7,,,299,150,150,,,,,3,,,449,,,,,2302
Iran,,,,,,,,,,,,,,,,,,,,,,40,,20,20,20,27,39,42,,,31,,,20,40,,,15,15,15,15,,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,390
Ireland,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,24,24,24,,,,7,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,108
Israel,,5,,,,,,,,,,,,,,,,17,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Italy,4,,,1,4,4,4,4,2,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,,,,,,,97
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,20,,,,10,10,70
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,47,85,3,125,76,94,174,0,,,,672
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,44,44,,,22,,,,,,,,,,,118
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10
Malaysia,,,,,,,,,,,,,,,,,,,,,,15,,,,,24,12,,,,,,,30,7,7,,,,,,,,,,,,,18,,,,,,,,,,,,,,3,3,,,2,3,3,3,2,129
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mexico,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,20,20,30,,,225,,338
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,374,,,,,,,,,,571
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,18
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,44,,,5,74,,,,,,,,,,,,,13,,154
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,13
Nigeria,,,,,,,,,,,,,,,,67,,,,,,,52,,,,,,,,18,12,11,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,200
Norway,,,,,,,,,,,,,,6,,6,60,60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,16,75,,,,,,,,,,,5,5,5,5,2,,,,,259
Oman,,,,,,,,,,,,,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,35,17,19,19,,,,,,133
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,,18,9,,,,,,,,,,,,,,,,,,,,,,80,,158
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Peru,,,,,,,,,,,,,,,,,,,,,,,,140,,,,239,58,,156,156,52,,,,,,34,,,,,,,,,,,,,,,,,,,,,,24,,,,64,6,,,,,,,929
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,25
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,,,20,,,34
Portugal,,,,,68,,,,,,,32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2,10,,,,,,,,,,,,,165,,18,183,136,,,,,,,,,,,,703
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,15,,,,,,,,,,,,,,,,,,,,,,,,,59
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,134
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,25,25,25,,,,,,,191
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
Singapore,,,,,,,,,,,,,,,,,,,,,5,18,12,,12,6,6,,,,,,,,,,,,,,,,,23,84,67,,,,,,,,,,,,,,,,,,9,14,5,,24,16,24,,,323
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,5
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,33,22,43,49,,10,57,27,,,61,50,38,,7,35,35,35,,,25,25,25,,39,10,,10,,10,,,,,,,,,,668
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,24,14,38,27,,14,14,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
Sudan,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Sweden,,,,,,2,2,,17,3,,,15,2,13,2,18,18,2,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,106
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,260,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20
Thailand,,,,,,,,,,,,,,,,,,,,,,6,,14,6,,12,6,,12,6,,,53,101,,22,54,,,,,,8,9,28,,,,,,,,,,16,,8,,,,,,9,,,,,,9,,10,387
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,60
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,134
Turkey,,,,,,,,,,,,,,,,,,,,,,10,,,,,,6,6,6,64,58,63,58,,6,6,20,159,66,122,41,27,10,10,14,5,19,22,13,22,,,,,27,13,,13,13,13,42,38,67,38,,,13,30,17,,,1154
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,12,12,17,6,,,,,,58
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,227,234,25,2,2,,,,,,,,,,,,,,,,84,84,,,,676
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,29,59,79,50,,,,,,,,,,,,,,10,10,,192,192,,,35,15,30,30,,,,15,,15,,,798
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,6,30,60,60,72,71,30,18,30,30,54,18,12,6,,,,,,,,,,,,,,,,,,,,62,62,46,62,77,92,77,92,46,108,1239
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,,,,,,,,42,,,,,,,,25,23,20,,,,12,6,,,13,13,75,49,14,24,14,14,,14,,41,,488
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,199,63,20,7,72,255,9,8,51,43,36,108,65,45,93,99,79,95,350,111,5,161,133,205,83,147,293,446,234,244,619,804,664,465,366,184,358,505,763,558,416,455,365,455,627,473,499,614,624,359,284,203,233,331,204,505,1146,1212,446,495,370,546,886,388,645,475,485,1050,462,253,478,299,25327
